file,source_row,source,date,token_count,file_sha256,normalised_sha256
file_1.c,77,Project_CodeNet,2019,134,487336a4b1882b98a344d0e4ae608778f1a5cc231566128defacf8f1efc712cb,b67c147a2663ab5916659a3eaf00bddb2c158fb6a4269c09c830927397de0ca2
file_2.c,122,Project_CodeNet,2019,347,896461c5a95a5ee6c2a9dd9d65ac0a5c4ba1fb14e5c4782a795e386b4bb3e1af,243beb14953dff5a39cdd6429b7f96ecbf8bd7b14e1ed174a448d7122b888a79
file_3.c,155,Project_CodeNet,2019,155,bd008a7315c546edce504129b0fd89dbb1c3d9041f10e11e2af142790714ebad,946604441246ef49f39b4d55753cc73bd484f3e18ed4a85fc397f1b887b31a89
file_4.c,235,Project_CodeNet,2019,148,0498b50ed17c4f0a22d24710770ef2f8a02bbf8d819d7f22f79941b99f8e09d2,f6d077d85b10efdfacaae25ce2d55811470bed29b38971d20de6c91f05dbb4ce
file_5.c,418,Project_CodeNet,2019,145,484750a55fdec7651ece7241de1b29dea42e52b8154a78be89bb09fec9ab4b3b,4f97296b7b83f86987e33decfc9d00459af3f4ad91776384587f73b27b037e1b
file_6.c,490,Project_CodeNet,2019,134,af996053835e9ac3a1e44cccd0f4438e9037b766776367819b565d37ebed8dfe,0695e16f89d193094cbabfd70bf8806010f83c20fcfe8a20f1f2450138fc2a34
file_7.c,551,Project_CodeNet,2019,114,8d31b70591277d1efd390a4c56eb00501559063e36634ab66b02ff1e1699ea33,abc20675659574d8107c90f27ad0a49c5c84be75187c92e7dd40c663fd4b30b7
file_8.c,611,Project_CodeNet,2019,209,67f1242c90ea15302170a9505595a347f4b52538a96117a0d9b42a6ad3f71f9f,8c9ba3b4d62fa5b75836c883b0579f0cea47ce1a70ad9d2defadd1919b26aced
file_9.c,868,Project_CodeNet,2019,164,2c5c8e45a7bcc93b2aa40085fd776db390dd05ce9fc13490f5db20fddfc0bab8,80402e34ebc0633a79021d85b084376669a7725aa061a2492e5e304e9524ff0b
file_10.c,1125,Project_CodeNet,2019,315,5a1a23494d1e06673ff77c3435c3a446794a4d70ea839c18581a5c18c172c238,63718a4844ae4cd669796b9dd8cf5d80105b5ab9b268b4d70e428204543c8653
file_11.c,1511,Project_CodeNet,2019,112,2ae5b0750d06ca851978b2be8945edd46cbff6caf8e500b7a2dd115c6609fe0b,f0afeb47ae175d0e0c3b8ccfc04f8abefb1a4ecb45affab6091893d1f77b63b0
file_12.c,1553,Project_CodeNet,2019,168,cb77a0edf859a30da82cd4e650eeb3b46925758a8ec6217b27be2f4ab175ea46,c4f843a077e23b33bcb2d4feac3ce4cdc1379afa5f24b6862396c56698d6372f
file_13.c,1880,Project_CodeNet,2019,162,0e85c8665cf665628050d7859ced2884a1ea53d211f04abc00f0f68dced4083e,879196757dae218c5414999d5373e05f1487cba93e525b98ab8737d1565b13ac
file_14.c,1978,Project_CodeNet,2019,185,0c31651796c4e8370f132c688439cf4d952fa24794dc0b447863915dd62c7c9e,c7bbf5c93f2600d8fa73b4aa38c211307bf2d73e5cb399b80338af595eb87085
file_15.c,2039,Project_CodeNet,2019,130,82620961b9f95c14fbeffe8a2be42d78341b817ea27b30fb8a22c61e390189d4,124253187b09d01c5bef82c980cab5af6847f22417c6e9968ecc3d16bafba413
file_16.c,2051,Project_CodeNet,2019,122,387df3e68b2cf51ae23d49b9facd26f50681e6a1f80eb3123f16467aa282ef94,9f7f8ce34a20222fc16a3f97e190f687db2c0f685ffe6c60ad19a2d6b8496cc1
file_17.c,2125,Project_CodeNet,2019,95,32155db304553d4ecbb48e49ea9d4c5ee95be14360d2d7f7159d00a754ee9ecc,9130d10f85170f2cccaffb23d910ef6637c4bac955e9e38b3dbfef6df0511cca
file_18.c,2205,Project_CodeNet,2019,106,18d5d090dc14e49975b88a688c04ca8b74d4d1b6d58c6190cb72744a91bbe539,22a91f7000a1ac0c9808f603d14a86c1b641818ada3fc223ffc955c2b1a0b9bc
file_19.c,2246,Project_CodeNet,2019,230,4198776abf44cfa63db7980d01b6e9eb43fff183d4b8f391b637703b07154b78,2d9b21d61e0f19665a5ad430e532492cc4ae042905c6f89b0a9c5930ed0dca60
file_20.c,2334,Project_CodeNet,2019,124,5ef450e92f2e7cb724a2edd1d82fe6ecbd1b2329f3f50179493beeed2ec7a127,6d3fe7c6c6ca4e3a00a69dc4d63ffbc409c1465c71f57b08eba8ff5e8fba3254
file_21.c,2445,Project_CodeNet,2019,168,5266def52ea781c207ebd8df89adeeb9c7f7e5ec0ace83b83dacc01740090769,3130528874e123f7d2a6fcb1da855ab1f39e3c2517b001037e223e40e1a6a7a9
file_22.c,2453,Project_CodeNet,2019,125,3a89cb2ccc125a2bd421a128c90130c75596b7509b1db9810bf4df4cb35f7c60,031478500e881737240e08f55a37792dbb7ee24fb514ab386d3a758168b575bc
file_23.c,2477,Project_CodeNet,2019,316,7c08b0bca4796c715eee3983dc66da9d108fd6f5891acbb48deed4ac1734a5c3,78ec6dffdd1c7ce83da1cd4dec8919e49e47d491c1fba755d41f6d4ce04ca6a5
file_24.c,2487,Project_CodeNet,2019,77,b5cd14ec9b1205905080256fba31af825e3de2a8dcf9c1dfa7c89cc789fab860,0a2ad3f2b980b01f9090baac9a9c04badf2e431598d863f90b3caecf99fe5d28
