file,source_row,source,date,token_count,file_sha256,normalised_sha256
file_1.cpp,0,Project_CodeNet,2019,107,8af0324fcab34864675783701b620f9a8923833848c242456d18f8567c378202,d2273feed4510afb2c7a8b946f6e0013a60c4324c0d7e9fe6d3d30f1b64adc04
file_2.cpp,1,Project_CodeNet,2020,131,819e8ece00bf7b33ff6f8a14a3e0b96ec5c2ca6e8937f10a610512c089a604b2,bafb04fb91f2a10c05444b752f289adf26b9de4e1ddf41b46162810e495be0c9
file_3.cpp,4,Project_CodeNet,2019,369,250caec8e4b909cfccac0e83524b68d973c107fb2fd16123abc1919f4ea34719,0d28392b91fc62f87131eeb2fca5f86eacd1fdc173300448c76b73b43d07def6
file_4.cpp,9,Project_CodeNet,2019,112,3c37213e99a0ac84c80355858bedb068355e48e365595445928cd3189078fa54,3b16b8249a34f45d572c092f32eea61f8c829082db99e41098e7d2c7f912c5a1
file_5.cpp,11,Project_CodeNet,2019,10449,3976809e7e01f2f883723e2c20e6a60af3ac34e05dcafc70a45f39584160ad61,c097f44cf1ced778f5e066dda57ba55d2f1a64cab4de876904da300142c40616
file_6.cpp,12,Project_CodeNet,2019,227,00742711aa80e575be6a1d6ac346b27996c5f3c6845c289c8c751905a2d26d3a,1913175cf055a786b0441a8bf20343a8beeb4848e79171fc046a4645ef5d22be
file_7.cpp,13,Project_CodeNet,2019,163,465d85da3e8ec5b9396b318f2c9589266bda4ff3fb12e73768f7a3bd81098989,7b77d69fbf9d4f882cb60226f3fd397ff2ec12ecc2ed7d2d984a3fdd86c2613a
file_8.cpp,14,Project_CodeNet,2019,281,42bc1b02b069625f2c9316da4ea235b22e05490805fe89443259e46a09452b3c,49fe848eeb8becae64c4ef8391420a0e133a7715ed7e657af93859dd3b71a3af
file_9.cpp,15,Project_CodeNet,2019,119,e8d65428517bfc1e56e2f88aeae90c94ac7309d0549cb9ce41c6194df462eef2,05dc9e916610562ae26e92e1b5fcebb107b7f6e185e52f680e26f3625d1a0703
file_10.cpp,16,Project_CodeNet,2019,187,3254920e7dd3ab92d3b6e41ddc2f7cd34828ab2646609339cee44dc51cb3f156,cb0f9fefd1f61884e9545a129fe44603267ebfef60599531d868a3d21fa50a77
file_11.cpp,17,Project_CodeNet,2019,109,3fb2ae405aedf6a40f1e2d89bd77f7bde064a461ca48ced37cbef3078ca61831,827f7531496c451f6ed4b17306ddcc35eac6c659ad0552616458db1be291a366
file_12.cpp,18,Project_CodeNet,2019,204,24624966983bd3641ec6bca0ba7cd6f15dc19ff6b66d1dea7e897b501f9083b3,a06d6a190081696bb82a5959ed47fd57899668c67b2935d26c03450adf3b9ab3
file_13.cpp,21,Project_CodeNet,2019,133,66cbb7ca41f00892223b359f932f30f41c27334650a5cbf3478d742d976bd43f,a9b8a421d73921f87e68405639f566762758e4cf069b9648719f0487c69f25ed
file_14.cpp,23,Project_CodeNet,2020,122,3f93fa5be271d034dfca6845d5f5e6cf3aff5f7401036a892dabd84bf71e2c48,0874d92743297a123dd90843f706bf51d537889472521970172c5a6e684cf55c
file_15.cpp,24,Project_CodeNet,2020,506,3b6bf016ed44478ce33503040e6fac24b934b1cfbdf384f259f6631429610e07,7a302593c49947c306d426a2ca82b52cf50d68e22754925dda3f48772ed2e859
file_16.cpp,25,Project_CodeNet,2019,1048,b7a318b81189b02d81a139a29b820ed0c7c4df7982265710b44c8a80ac473faf,35e1618c064b7ab67f0be1d6444c1e567005733ef9a5ac401fb982a36a5ef57e
file_17.cpp,26,Project_CodeNet,2019,119,ff4d578707e330302eff6bd8b3a570a007fdf4fcd7e25010daa89e19da9e8bf9,5f8b5a11eccedbb9bfd2692a91ebd9f22f926f2c3a54e9bd49b039ddb0d7261f
file_18.cpp,28,Project_CodeNet,2020,182,cb49f9ca7f48dbc2d22d8b076b1aeb2ec723f869b15430136b43db529d173373,e2a059df454d2e98f20e3d9461aa527868a3502e8ef225c68943ffaf7b183507
file_19.cpp,30,Project_CodeNet,2019,160,bfae243e1a84cff0fefb2c9e3c850439161f64921d1d9a93e2ae7fcefbf9bf47,3e1e6069bcb50bb86985c01cb4663b54ed6d74e06bb10a6cacfc2c31b78d9480
file_20.cpp,31,Project_CodeNet,2019,143,6d3293418c0490686a305485767a9becd4dc98f42a377e49aec220defaf9790a,18200c8c35688e7d8f3b381b8411f6077011ce170560cd4fe3abeffcd088380f
file_21.cpp,32,Project_CodeNet,2019,464,ec3722e51bede184595cc619d47b073c838092a5b89ab2d277c41bd39cf0a487,6c05a952b97b3a0f17054505481ff629127c995a02f0f4b2596f012ea8f284c2
file_22.cpp,34,Project_CodeNet,2019,138,09d31cb4d1c08152f12452ef4c0705a5b7417256e7e8b21e5e58b44d73a96f3e,a121ee4283e75165f4077a84102ee67e52cfc74fbc33bead0f9c882f05d2fee7
file_23.cpp,37,Project_CodeNet,2019,7278,a2ad3a7c5007c7d222248cd46486c9bad9e4aa0f3db802f508287041f6c39937,b6fc81a73391fb7f2367237045b2aec4c921680b3b1401f7feb19be73e337361
file_24.cpp,38,Project_CodeNet,2020,131,5d9dccce9195018fc0c26e618b5d5a11edccaa44ba2adc1a723ef845e8b978c5,0721af5e6e9a211ce45a8e69233b4e9d3af86f04739e5f8dd661831aa3a14ace
file_25.cpp,40,Project_CodeNet,2019,102,b9fd2cc2dd420b375cd252c4fe0a39b4abc2134dad55eb46ec2ce3a664ee9901,9165e58830dc9ec25908fa87c5311128a8b5fc2645749adda192ad09163ad842
file_26.cpp,44,Project_CodeNet,2019,139,12a9a9393244525a38e32067cfa98ab282e19dc5603549813f9bf21effef98bb,c90576ab3cf1e88e71e78ee4099df1baf0e5ed3097caba6852100c9f6ae1a71a
file_27.cpp,46,Project_CodeNet,2019,135,e1c774d1e2e0405ad002586b810b5b3b39ee12085a5b4677fb7d12f0c25e2c3d,d089f8810ed4a8755d5dc8a5501c143bc114e4339fad1eebd982d4727c221545
file_28.cpp,47,Project_CodeNet,2019,265,4eb35b86a538e519144673abf554043aa0a8fd7e3366d8e131b6de99bce5a97e,56c9fc5de26780045bbcade3e4cc67c7590d45783ec96d587b7e65b175318349
file_29.cpp,48,Project_CodeNet,2019,190,bd80400eb812e479866ccb6f3f1020178b204a31f6482dda15cdb4a4edffe41d,4155707fa8963db9d3ce702299e56515cb20fc7bacf533b4143da1f33fe9d5a3
file_30.cpp,49,Project_CodeNet,2019,149,5c1d7057b9d7a991cd26e119fbfcbcb347382067eb4ad58198db39d79f5addd3,b0dbd07b8ca4490381a93872fadaa413633d7c35a0abac457a0e2a33f530c60b
file_31.cpp,52,Project_CodeNet,2019,108,75f752bf12f65c780c1c8e460f6ea119442142f79334c3c6a7294a95b8329863,04dcb6f23add528cc0764742dccce66f5da60ed52c7af805938b94fed31adf46
